title,plus_code,latitude,longitude
SPFOC Senam pagi flay over cakung,6P58QWJX+RG,-6.217989,106.948797
Taman alam,6P58QXJ2+W3,-6.217635,106.950137
Sanggar Kue Talam Cakung,6P58QXM2+2H,-6.217401,106.951433
Tenda biru,6P58QWMH+7Q,-6.21687,106.929415
Kediaman Nana Ibrohim,6P58QWMP+7P,-6.216835,106.936805
Go green,6P58QWPR+27,-6.214986,106.940712
Pemancingan Galatama lele ms,6P58QWPP+CC,-6.21397,106.93611
Adm Fitness Duren Sawit,6P58QWWQ+8X,-6.204183,106.939938
KinzaHome,6P58QWWP+JJ,-6.203417,106.936583
D' FAM,6P58QWWQ+RW,-6.202922,106.939803
PTM. PRATAMA,6P58RX26+3J,-6.199843,106.961595
PT. TRAINING HRD SmartGlobal,6P58RX26+QP,-6.198072,106.961813
Nutrisi Cereal Deswita,6P58RX24+VF,-6.197776,106.956239
Sahuri SHR,6P58RW3M+2G,-6.197461,106.933867
3 Fit Community,6P58RV2Q+QQ,-6.198043,106.889411
Sport Club The Royal Redidence,6P58RX35+G6,-6.196142,106.958069
ROYAL RESIDENCE MASJID,6P58RX44+85,-6.194184,106.955401
Suplemen Kesehatan,6P58RW4P+P5,-6.193182,106.935459
BENZ FITNESS PENGGILINGAN,6P58RW4P+X6,-6.192527,106.935543
Sekertariat PAC PAGAR NUSA CAKUNG,6P58RW5R+WR,-6.190163,106.942008
Budi Fitness Center,6P58RW2C+4V,-6.199716,106.922228
agen fiforlif jakarta,6P58RWG5+38,-6.174791,106.908276
Komplek jawara Sunda Cirebon,6P58RW9X+92,-6.181562,106.947561
Prime Time Fitness,6P58RWCX+XX,-6.177579,106.949918
Fitria,6P58RWFV+W9,-6.175219,106.943391
Taekwondo Formula Glori JGC,6P58RXG6+VR,-6.172845,106.962056
Sanggar Taekwondo Formula JGC,6P58RXG6+WQ,-6.17275,106.961972
Bundaran JGC,6P58RXH4+6P,-6.171907,106.956762
FUTSAL NOORMA FARDHYA,6P58RWMM+6R,-6.166967,106.934506
PT Japan Fitness Indonesia,6P58QRRH+RM,-6.207947,106.829176
SHISEI Posture Improvement Academy,6P58QRRH+RM,-6.207947,106.829176
20FIT Kuningan,6P58QRVH+3G,-6.207326,106.828867
Taekwondo Inti Club Unit Menteng- POMDAM JAYA,6P58QRWQ+62,-6.204431,106.837568
Bu Hj. Narti,6P58RV68+2W,-6.189913,106.867288
Bu Hj. Roosman,6P58RV68+VW,-6.18785,106.867331
ōkami Aikido Dojo,6P58RV89+57,-6.184598,106.868197
Sahaja Studio,6P58RV89+78,-6.184299,106.868294
SATRIA BANGSA Cempaka Putih,6P58RV89+HC,-6.18358,106.868623
Bounce Street Asia - Trampoline Park,6P58VV2W+VF,-6.147787,106.896224
Silo Dance & Art Centre,6P58VV3W+5R,-6.147044,106.897052
Star Yoga,6P58VV3R+CP,-6.14638,106.891808
Rockstar Academy - Gajah Mada Plaza,6P58RRQ9+M6,-6.16084,106.818022
Tempat Fitnes,6P58VR39+22,-6.147493,106.817605
Ladies Senam Fitnes Centre,6P58RRRJ+JQ,-6.158468,106.831949
ICE JAGUNG HAWAI SEGAR,6P58VR3F+FC,-6.146336,106.82361
pangkalan yoga( Big Mangoes),6P58VR38+QC,-6.145524,106.816087
Neptunus Sailing Club Ancol,6P58VRHP+9C,-6.121604,106.836044
The Golf Lab La Piazza,6P58RWQ4+VH,-6.160328,106.906411
Komunitas boxing ( private boxing/muaytai),6P58RWQ3+XH,-6.160016,106.903878
CR Taekwondo Academy,6P58RWJ2+C5,-6.168915,106.900454
Taman Jogging BGM,6P58RVQW+C3,-6.161385,106.895186
FDC Kelapa Gading Ballet Hiphop Kpop Cover Dance School Jakarta Utara Marlupi Dance Academy FDCenter Forever Dance Center,6P58RVWW+CR,-6.153936,106.897084
Foster Fit,6P58RWQG+5Q,-6.162106,106.926987
Lapangan FUTSAL,6P58RXW2+PW,-6.153196,106.952312
Lapangan serbaguna RW 01 green garden rorotan,6P58RXW2+Q6,-6.153034,106.950547
Bodimax Store Kelapa Gading | Toko Alat Fitness & Gym Terbaik,6P58RWR4+HX,-6.158578,106.907395
Bodimax Store MKG 2 | Toko Alat Fitness MKG2 | Toko Treadmill & Sepeda Statis,6P58RWR5+X7,-6.157563,106.908136
La Christie (Summer Chicks),6P58VW3R+5P,-6.147113,106.941763
Lapang Merpati Balap Jakarta,6P58VXH9+6C,-6.121878,106.968578
Goa Keputusasan Decul,6P58VXJ4+GW,-6.118685,106.957309
BacuLes camp,6P58VWPG+98,-6.11411,106.925822
DENINTEL MARUNDA,6P58VXP3+96,-6.114091,106.953017
Klub Agis Akbar Herbalife,6P58VWPG+FP,-6.113836,106.92676
Prisai Sakti Mataram,6P58VWPH+X8,-6.112557,106.928272
Badminton Embano Jaya,6P58VWG5+93,-6.124093,106.907744
Klub Arzan,6P58VWH8+G6,-6.121206,106.915618
IKS PI KERA SAKTI CABANG JAKARTA UTARA,6P58VWH5+VV,-6.120271,106.909725
Club Naswa Nur Hikmah,6P58VWJF+2P,-6.119947,106.924254
Sewudino,6P58VWJC+PP,-6.118211,106.921777
Omiles Fit & Walk,6P58VVPW+8X,-6.114226,106.897447
KAMPUNG ORANG BATU,6P58VVRV+JV,-6.108458,106.894686
Basecamp Friendly Bike Indonesia,6P58VWP9+55,-6.114544,106.917966
Padepokan Gus Arif Jakarta,6P58VWPC+67,-6.114419,106.920653
Rawa,6P58VWPC+R9,-6.112891,106.920901
RPTRA Dukuh Manis,6P58VWR9+6W,-6.109386,106.919788
Klub Tm,6P58VWVC+G7,-6.106149,106.920687
Kebantenan II,6P58VWQG+57,-6.112099,106.9257
Be Happy,6P58VWVQ+P4,-6.10563,106.937806
Rayon sembar cabang jakarta Utara,6P58VWWQ+VF,-6.102757,106.938708
Sekretariat PS. Sawung Galing,6P58VWWQ+WF,-6.102746,106.938736
PENCAK SILAT PSHT RAYON CILINCING CABANG JAKARTA UTARA,6P58VWXQ+HF,-6.1011,106.938711
KLUB RINJANI MEWANGI,6P58WW2Q+P4,-6.098126,106.937767
BUJAL FITNESS,6P58WW3M+7V,-6.096863,106.934662
Montong Sinergi Stokis Sin TSI,6P58MR75+H5,-6.336107,106.80792
Tirta sida mala telaga badjra,6P58MR76+H6,-6.336101,106.81057
3R Futsal,6P58MR75+W8,-6.335212,106.808263
Beksi Naga Kong Nur,6P58MR86+66,-6.334378,106.810613
Jivana Studio,6P58MR7G+QG,-6.335512,106.826371
Pesona reflexy,6P58MR2C+P2,-6.348232,106.820041
HOM Ladies Fitness,6P58MRQ7+P7,-6.31066,106.813217
PSHT RAYON KAMPUNG KANDANG,6P58MRH6+Q2,-6.320581,106.81003
BADAI KARATE CLUB,6P58MRP4+XQ,-6.312565,106.806949
PSHT rayon kebagusan,6P58MRPJ+M2,-6.313309,106.830017
Literasi,6P58PR4G+Q5,-6.293077,106.825414
Fast Gym New Hall,6P58PR37+RG,-6.295402,106.813791
Fast Gym Artistic Gymnastics Club (CIBIS Park),6P58PR37+VF,-6.29536,106.813687
MUVON SPORT,6P58PRC9+26,-6.279887,106.818122
Sparks Sports Academy - Pejaten,6P58PRCQ+68,-6.279387,106.838309
Service alat fitness (Power Sport Fitness),6P58PRMP+7H,-6.266815,106.836474
OBSIDIAN,6P58PRM4+J6,-6.265901,106.805507
Basecamp Grab Lintas Jian,6P58PRQ4+J9,-6.260999,106.805886
RPTRA POLA IDAMAN,6P58MQRQ+GH,-6.308736,106.788902
"Taekwondo ""BEUMYU""",6P58MQRP+RX,-6.307904,106.787466
PPS. Cacag Lembang,6P58MQRR+VM,-6.307753,106.79163
Sukha Studio,6P58PRG6+2F,-6.274907,106.811219
Chi Space Studio,6P58PQ7J+G9,-6.286195,106.780898
TERUS BUGAR CLUB,6P58PQ9V+W4,-6.28019,106.79282
GOR CILANDAK BARAT,6P58PQ5R+R6,-6.290456,106.790614
The Barbellship,6P58PRM2+5C,-6.267062,106.801033
Sawadee,6P58PRM2+97,-6.266568,106.800688
ISBC JAKARTA,6P58PRP2+MC,-6.263312,106.801004
Karate Dojo Bukit Mas Bintaro,6P58PQC8+P9,-6.278195,106.765963
INKAI Ranting Harapan Bintaro (Dojo RHB),6P58PQG8+47,-6.274643,106.765656
timor blessed home,6P58QQ8J+9C,-6.234089,106.781125
Abdi Walidain. CV,6P58QQCH+XC,-6.227539,106.77859
Dojo Go Niji,6P58QQ73+G4,-6.236237,106.752836
Herbalife Coach Alfa Indah,6P58QQG2+FP,-6.223872,106.751774
Padepokan Braja Oreg,6P58QQJ4+6M,-6.219465,106.756672
Nelson Nainggolan Gym,6P58QQPF+96,-6.21408,106.773036
Perguruan Silat CINGKRIK KIGONING RAWA BELONG (Babeh MAR'ALIH),6P58QQPF+PG,-6.213126,106.773768
Latihan silat,6P58QQRH+HP,-6.208606,106.779303
Mandiri Aikido Club,6P58QQVF+CH,-6.206383,106.773971
G. Interior,6P58QPQW+VQ,-6.210374,106.746993
Indobarian Academy - Namaschoke,6P58QQR2+Q9,-6.208067,106.750977
Jakarta Tennis Academy @ Lapangan Tenis Intercon,6P58QQV2+4Q,-6.207154,106.751931
New Hollywood Hair & Beauty Salon,6P58RP2V+FG,-6.198821,106.743806
Mefa Studio Gymnastics,6P58RQ29+PG,-6.198179,106.76883
Akademi Beladiri Beksi Indonesia,6P58RQ2C+XW,-6.197595,106.772324
Perkumpulan Pencak Silat Cingkrig Serbaguna Kebon Jeruk (PPSCS KJ),6P58RQ4F+46,-6.194655,106.773021
Kaloria Studio,6P58PQPP+JJ,-6.263416,106.78651
Perguruan Silat Betawi - PS. PURBAKALA aliran BEKSI.,6P58PQRQ+39,-6.259853,106.788481
Herbalife Coach Radiodalam,6P58PQRR+76,-6.259286,106.790544
PRIVATE MUAYTHAI,6P58PQVR+C2,-6.256491,106.790089
carabikingemuk,6P58PQWR+58,-6.254535,106.790846
Warung Fitnes,6P58QQ2M+2C,-6.249934,106.783623
Blaze Studio & Cafe,6P58QQ2R+H6,-6.248564,106.790604
Difa'z Fit,6P58QQ5M+6P,-6.241923,106.784343
PrimaFit | Life Fitness | Gandaria City,6P58QQ6M+39,-6.239783,106.783468
Wing Chun harmony Indonesia cabang kebayoran lama,6P58QQ7M+QQ,-6.235503,106.784396
Bodimax Store Plaza Senayan | Toko Treadmill & Sepeda Statis | Toko Alat Fitness Jakarta Pusat,6P58QQFX+QP,-6.225591,106.799301
Burn 83,6P58QRF4+9Q,-6.226567,106.806904
Limitless Performance Institute Senayan,6P58QQGW+3V,-6.224823,106.797147
atletik_alifuru club,6P58QQHX+HG,-6.221054,106.798833
Hometeam Senayan,6P58QQJV+3Q,-6.219837,106.794473
Lapangan tembak senayan pintu belakang,6P58QQPW+HF,-6.213555,106.796247
R Fitness,6P58QRG5+9X,-6.224113,106.80997
Satu Tempat Studio,6P58QRRC+74,-6.209267,106.820338
Kelas Privat Beladiri Hapkido & Taekwondo DEMOS M.A.S,6P58RR86+89,-6.18423,106.810988
SANGGAR SENAM FTWO,6P58RR94+49,-6.182209,106.805992
Sinar Surya Sport,6P58RRMJ+JP,-6.165879,106.831844
Taman Kalistenik Paspampres,6P58RRG8+4X,-6.174747,106.817405
Kyokushin Dojo Elite,6P58RRM7+6H,-6.166906,106.813908
Club dara muda,6P58RRP7+9C,-6.164039,106.81353
